Item,Tags,Center
"Jamey starts a statement with ""Again..."" ",Jamey,TRUE
"Heath says ""fantastic""",Heath,TRUE
"Dan says ""unbelievable""",Dan,TRUE
"Jamey says ""I'll give you an example""",Jamey,TRUE
"Heath says ""Bingles""",Heath,FALSE
Dan's clothing is criticized,Dan,FALSE
Schafer gets on the mic,,FALSE
Adam trashes the giants,Adam,FALSE
Dan trashes the giants,Dan,FALSE
Heath trashes the giants,Heath,FALSE
Heath trashes Daniel Jones,Heath,FALSE
Adam defends Daniel Jones,Adam,FALSE
Adam trashes the Chiefs,"Adam, Heath",FALSE
Heath defends the Chiefs,"Adam, Heath",FALSE
Heath trashes the Chiefs,Heath,FALSE
Sandwiches or burgers are discussed,,FALSE
"Dan says ""standpoint""",Dan,TRUE
Adam’s immune system is critiqued,,FALSE
Adam gets grilled for his commissioning,,FALSE
Spiderman meme is mentioned,,TRUE
"Dan says, ""I will say this""",Dan,TRUE
Someone asks for more likes on youtube,Sunday_morning,FALSE
Dan gets mad at someone who submitted a mailbag or fantasy cops question,"mailbag, Dan",FALSE
Someone talks about a trade they made,season,FALSE
Dave critiques Game of the Week execution,"Dave, Thursday OR Friday, season",FALSE
Adam sings,Adam,FALSE
Dan laughs like the count,Dan,FALSE
Any discussion of music,,FALSE
Someone's dog barks in the background,Jamey,FALSE
Adam highlights a youtube comment that praises him,Adam,FALSE
Someone highlights a youtube comment that mocks Adam,,FALSE
Adam plays the wrong soundbite,Adam,FALSE
Jamey mentions how late he stayed up last night,Jamey,FALSE
Adam's clothing is critiqued,Adam,FALSE
Someone talks about one of their matchups,season,TRUE
Adam and Dan's tennis rivalry is mentioned,,FALSE
ERIC soundbite is played,,TRUE
"Someone says, ""start em all, sit em all""","Thursday OR Friday, season",FALSE
Dan agrees with Jamey,"Dan, Jamey",FALSE
Adam brings up explosiveness,Adam,TRUE
Someone gets mad about the guy they wanted getting taken in a mock draft,"draft, preseason",FALSE
A combine stat is mentioned,,FALSE
Any mention that tight end is deep this year,preseason,TRUE
Any mention that CMC is coming off a high usage season,,FALSE
Adam struggles to find a soundbite,Adam,FALSE
Adam and Heath get mad at each other,"Adam, Heath",FALSE
Adam talks about Jahmyr Gibbs,"Adam, preseason",FALSE
"Adam drops a trailing preposition (like saying ""pumped"" instead of ""pumped up"" or ""hang"" instead of ""hang out"") despite his war against dropping the ""up"" from ""washed up""","Adam, Heath",FALSE
Dave advocates for using a handcuff strategy,Dave,FALSE
"Any mention of the ""friendship strategy""",,FALSE
Any mention of best ball,,FALSE
Any mention of the green zone,,FALSE
Adam does Game of the Week,"Adam, Dave, Thursday OR Friday",TRUE
The PITT MAN music is played,,FALSE
Jamey has a laughing fit,Jamey,FALSE
Adam and Dan get mad at each other,"Adam, Dan",FALSE
Beyond the Box Score plug,,TRUE
FFT Dynasty plug,,TRUE
Dan says he doesn't watch movies,Dan,FALSE
Dan brings up New Jersey,Dan,FALSE
"Jacob says, ""lets go""",Jacob,FALSE
Jacob is silent for 2 straight minutes,Jacob,TRUE
"Dave says ""drop-o-meter"" like ""DROP-oh-mee-ter""",Monday,TRUE
"Dave says ""drop-o-meter"" like ""druh-POM-uh-ter""",Monday,TRUE
Jamey curses to provoke Adam,"Jamey, Adam",FALSE
Dan hasn't seen a movie,Dan,FALSE
Dan says auctions are better than snake drafts,Dan,FALSE
Heath talks about Zay Flowers,Heath,FALSE
Dave talks about Jaylen Waddle,Dave,FALSE
Fantasy Cops music is played,mailbag,TRUE
St. Jude plug,preseason,FALSE
Dan talks about golf,Dan,FALSE
Jeremiyah Love soundbite is played,,FALSE
Any discussion of movies,,TRUE
Heath mentions his projections,Heath,TRUE
Any mention that quarterback is deep this year,,FALSE
