Item,Tags
Any mention of the time Dave took Heath to get New York pizza at Sbarro,
"Adam's ""Best male host"" honors are mentioned",
Adam brings up My Cousin Vinny,Adam
Adam has a pest control problem,Adam
Jamey does his Bobby Boucher,Jamey
Dave says he's not a Bears fan,Dave
Someone brings up the Mt. Kisco Diner,
Adam consults the magic eight ball,Adam
Jamey talks about his coaching career,Jamey
Jamey mentions how late he stayed up last night,Jamey
Heath talks about his coaching career,Heath
Heath talks about grilling,Heath
Dan mentions Curb Your Enthusiasm or Larry David,Dan
Adam mishandles a trivia game,Adam
Adam's cinnamon raisin bagel ham sandwich comes up,Adam
Someone loses their audio and/or video connection,
Adam gets razzed for the time he chickened out on shaving lines in his hair,
Dave doesn't give a damn,Dave
Heath talks about shuttering his house on Halloween,Heath
